country,co2emissions,lifeexpectancy,urbanrate,incomeperperson
Afghanistan,75944000,48.673,24.04, 
Albania,223747333.3,76.918,46.72,1914.996551
Algeria,2932108667,73.131,65.22,2231.993335
Andorra, , ,88.92,21943.3399
Angola,248358000,51.093,56.7,1381.004268
Antigua and Barbuda,16225000, ,30.46,11894.46407
Argentina,5872119000,75.901,92,10749.41924
Armenia,51219666.67,74.241,63.86,1326.741757
Aruba,35871000,75.246,46.78, 
Australia,12970092667,81.907,88.74,25249.98606
Austria,4466084333,80.854,67.16,26692.98411
Azerbaijan,511107666.7,70.739,51.92,2344.896916
Bahamas,137555000,75.62,83.7,19630.54055
Bahrain,503994333.3,75.057,88.52,12505.21254
Bangladesh,598774000,68.944,27.14,558.0628766
Barbados,36160666.67,76.835,39.84,9243.587053
Belarus,999874333.3,70.349,73.46,2737.670379
Belgium,10897025333,80.009,97.36,24496.04826
Belize,14058000,76.072,51.7,3545.652174
Benin,37950000,56.081,41.2,377.0396995
Bermuda,20331666.67, ,100,62682.14701
Bhutan,6024333.333,67.185,34.48,1324.194906
Bolivia,254939666.7,66.618,65.58,1232.794137
Bosnia and Herzegovina,236419333.3,75.67,47.44,2183.344867
Botswana,78943333.33,53.183,59.58,4189.436587
Brazil,9580226333,73.488,85.58,4699.411262
Brunei,254206333.3,78.005,74.82,17092.46
Bulgaria,3157700333,73.371,71.1,2549.558474
Burkina Faso,20628666.67,55.439,19.56,276.200413
Burundi,8092333.333,50.411,10.4,115.3059959
Cambodia,45411666.67,63.125,21.56,557.9475126
Cameroon,125172666.7,51.61,56.76,713.6393027
Canada,24979045667,81.012,80.4,25575.35262
Cape Verde,5214000,74.156,59.62,1959.844472
Cayman Islands,8968666.667, ,100, 
Central African Rep.,8338000,48.398,38.58,239.5187494
Chad,7608333.333,49.553,26.68,275.8842865
Chile,1839471333,79.12,88.44,6334.105194
China,1.01E+11,73.456,43.1,2425.471293
Colombia,2269806000,73.703,74.5,3233.42378
Comoros,2368666.667,61.061,28.08,336.3687495
"Congo, Dem. Rep.",169180000,48.397,33.96,103.7758572
"Congo, Rep.",46306333.33,57.379,61.34,1253.292015
Cook Islands,1045000, , , 
Costa Rica,148470666.7,79.311,63.26,5188.900935
